year,month,SOx
2019,10,66291.9449999997
2019,12,72156.2639999998
2019,5,72306.416
2019,9,87292.7729999997
2019,2,79080.263
2019,11,74725.2939999995
2019,8,93840.0089999996
2019,1,103524.879
2019,4,58723.9289999997
2019,3,81647.1519999996
2019,6,79713.9679999996
2019,7,99906.2129999997
2020,2,55400.0999999998
2020,5,49970.1679999999
2020,4,41903.3650000001
2020,9,68630.8389999997
2020,6,67760.3359999997
2020,3,50541.551
2020,7,91354.7209999997
2020,8,92476.3759999996
2020,12,77048.2979999997
2020,1,63695.1439999996
2020,10,65168.4659999998
2020,11,64173.7289999997
1999,1,1095091.922
1999,9,1024651.56
1999,5,966701.083000001
1999,10,989650.917
1999,7,1273900.667
1999,6,1090943.87
1999,8,1225105.629
1999,12,989931.258999998
1999,11,895034.747
1999,3,1033446.585
1999,4,935145.828000001
1999,2,933377.040000001
2000,4,762275.032
2000,5,863505.880999999
2000,11,895095.967999999
2000,9,927134.919000002
2000,1,1001992.314
2000,3,851118.841
2000,6,970947.103000001
2000,8,1059005.987
2000,7,1016615.697
2000,12,1071863.55
2000,2,876252.624000001
2000,10,906259.027000001
2001,2,851101.778000002
2001,9,818951.838999999
2001,12,801354.081999999
2001,6,934871.434000002
2001,8,1059862.365
2001,10,791404.264000002
2001,11,759186.703999999
2001,3,891451.045000001
2001,4,808515.450000001
2001,1,1035591.504
2001,5,871167.552
2001,7,1014039.314
2002,11,795403.134
2002,5,778254.052
2002,8,977510.277000002
2002,2,741431.466999999
2002,3,802802.488
2002,7,986650.519999999
2002,1,848680.669
2002,12,912320.1
2002,10,838081.35
2002,6,872516.976999999
2002,4,754973.589
2002,9,887572.293000001
2003,8,1004860.894
2003,5,800562.764
2003,1,985429.076
2003,10,851340.487
2003,12,924382.735000001
2003,9,873432.990000001
2003,4,777739.540999999
2003,6,864850.896999999
2003,7,1001904.114
2003,11,825173.627000001
2003,2,847722.265000001
2003,3,837568.528
2004,6,872347.768000004
2004,9,819166.436
2004,10,792934.112
2004,5,834884.251999998
2004,8,926982.131
2004,11,763644.783000001
2004,2,865174.792
2004,7,954626.983
2004,12,885867.480999999
2004,4,764044.953
2004,1,957231.304999999
2004,3,822869.846999999
2005,5,720495.473999998
2005,6,873953.795000001
2005,12,916196.464
2005,10,832881.404000002
2005,7,966269.968999999
2005,3,846256.837
2005,11,786834.492000002
2005,4,726704.406
2005,1,893035.771999998
2005,9,892475.785000001
2005,2,779538.496000001
2005,8,990836.030999998
2006,3,784943.111
2006,5,735566.788999999
2006,2,770261.806000001
2006,12,777449.461000002
2006,8,923700.306
2006,10,745168.835000001
2006,4,690018.015
2006,9,724024.035
2006,1,793358.998000001
2006,6,802092.725000003
2006,11,736356.392000002
2006,7,914260.768000001
2007,9,734216.617999999
2007,8,853642.833000001
2007,4,674654.714000001
2007,3,735244.712
2007,5,699325.237
2007,1,791090.257999999
2007,11,673641.354000001
2007,12,713434.369999999
2007,10,704019.571999999
2007,7,813468.974
2007,6,763257.735999998
2007,2,780000.700999999
2008,6,671957.412
2008,7,719656.049999999
2008,10,532257.826999999
2008,8,685582.079000001
2008,11,544000.085999999
2008,9,595621.617
2008,12,600739.010999999
2008,1,753071.436000002
2008,2,682877.245999999
2008,4,587837.389
2008,5,588309.731999998
2008,3,658865.438999999
2009,1,628068.111000001
2009,4,446000.522999999
2009,2,507348.936999999
2009,6,500536.698999998
2009,12,489696.506999999
2009,11,386440.799999999
2009,10,418281.487999998
2009,3,473498.021999999
2009,8,548178.916999998
2009,9,417479.197999998
2009,5,446545.960999999
2009,7,520384.048999999
2010,10,347402.363999999
2010,1,510301.538999998
2010,5,386401.602999998
2010,3,406251.995
2010,2,443963.172
2010,11,351999.058999999
2010,4,345253.059999999
2010,9,405584.611
2010,8,512930.884000001
2010,6,480801.461999997
2010,12,452895.099999999
2010,7,524890.902
2011,5,357058.288
2011,3,354484.713
2011,10,305021.645999999
2011,12,304688.940999999
2011,4,325155.517999999
2011,11,313894.414999999
2011,2,383445.075
2011,9,342237.858999998
2011,6,426242.473999998
2011,7,492328.444
2011,8,464710.043999999
2011,1,476824.137999999
2012,6,300636.921
2012,2,250156.24
2012,5,263179.515
2012,1,287425.263999999
2012,7,382517.941
2012,3,234603.994
2012,4,219533.348999999
2012,11,261913.650999999
2012,8,338543.454999998
2012,12,273497.027999999
2012,10,243668.559999999
2012,9,266069.083999999
2013,11,239522.354
2013,9,267325.682999999
2013,12,280506.800999999
2013,6,283292.230999999
2013,5,248178.323999999
2013,1,286100.543999999
2013,8,312295.423999999
2013,7,324835.775999999
2013,10,232986.459999999
2013,4,237685.370999999
2013,3,276544.267999999
2013,2,256240.587999999
2014,9,243537.098999999
2014,12,232953.261
2014,1,335468.785999999
2014,4,219641.35
2014,10,213494.034999999
2014,5,229996.327999999
2014,7,290316.520999999
2014,11,232659.045999999
2014,8,290662.761999999
2014,3,286999.056999998
2014,2,307224.303999999
2014,6,275887.217999999
2015,3,203188.823999999
2015,2,252786.067
2015,10,143004.82
2015,12,123018
2015,6,193751.763
2015,7,216652.279
2015,1,241626.708999999
2015,5,172863.976999999
2015,9,181398.312999999
2015,4,153057.757999999
2015,11,128633.012
2015,8,207607.296999999
2016,9,133015.544
2016,8,160326.275999999
2016,7,162741.351
2016,11,98087.2769999999
2016,6,135159.216
2016,12,134775.304
2016,4,82230.7339999997
2016,5,90482.8129999998
2016,2,129257.36
2016,10,115035.078
2016,3,95960.2949999996
2016,1,154094.644999999
2017,12,121777.829
2017,11,104636.465
2017,1,126507.067
2017,9,113075.628
2017,2,93297.4609999994
2017,6,116238.239
2017,10,99492.2459999997
2017,7,140227.103
2017,3,96196.1199999998
2017,4,90043.8849999997
2017,8,133845.126
2017,5,103130.876
2018,7,130413.717
2018,12,103866.548
2018,5,96052.4569999995
2018,9,104998.945
2018,8,127728.983
2018,2,88199.1239999997
2018,6,114198.654
2018,11,96229.3379999999
2018,1,138048.469
2018,3,87792.9679999997
2018,4,81760.3809999997
2018,10,95401.7469999994
