year,pop_name,reg,relative_PWE_enhancement
1999,Asian,Northeast,0.800643501380435
1999,Asian,South,0.871940212167317
1999,Asian,North Central,0.865284620686126
1999,Asian,West,0.62324239958166
1999,Black,Northeast,1.03120961425526
1999,Black,South,1.05919227910465
1999,Black,North Central,1.1802311911791
1999,Black,West,1.02019649041449
1999,Hispanic,Northeast,0.697157509578834
1999,Hispanic,South,0.670771057349576
1999,Hispanic,North Central,0.708807843281585
1999,Hispanic,West,0.743941761142267
1999,Native,Northeast,0.723264025479902
1999,Native,South,0.653108896734632
1999,Native,North Central,0.55739173993093
1999,Native,West,1.23463026812836
1999,Pacific,Northeast,0.726465971249377
1999,Pacific,South,0.679867594927286
1999,Pacific,North Central,0.614310720324688
1999,Pacific,West,0.746557993193253
1999,White,Northeast,1.00650244160733
1999,White,South,0.997792411431169
1999,White,North Central,0.984822545214496
1999,White,West,1.01865868200565
2000,Asian,Northeast,0.792965448135093
2000,Asian,South,0.865430608340503
2000,Asian,North Central,0.851075716206691
2000,Asian,West,0.614968858603004
2000,Black,Northeast,1.03472659810992
2000,Black,South,1.09216358190305
2000,Black,North Central,1.1842422707625
2000,Black,West,0.993449351739496
2000,Hispanic,Northeast,0.687903670403402
2000,Hispanic,South,0.619034744527606
2000,Hispanic,North Central,0.67807437072401
2000,Hispanic,West,0.752902451017942
2000,Native,Northeast,0.733913803920964
2000,Native,South,0.62744200031956
2000,Native,North Central,0.536159962726762
2000,Native,West,1.25489928982823
2000,Pacific,Northeast,0.724265991766273
2000,Pacific,South,0.662335813001108
2000,Pacific,North Central,0.603297431425549
2000,Pacific,West,0.760460019385648
2000,White,Northeast,1.00620907850926
2000,White,South,0.992078850046763
2000,White,North Central,0.985145297122179
2000,White,West,1.02127690744755
2001,Asian,Northeast,0.801817698769406
2001,Asian,South,0.891838088743576
2001,Asian,North Central,0.860248518663323
2001,Asian,West,0.635555166272075
2001,Black,Northeast,1.01197643449757
2001,Black,South,1.05474495968767
2001,Black,North Central,1.156650455
2001,Black,West,0.987828416212738
2001,Hispanic,Northeast,0.680061817151064
2001,Hispanic,South,0.599952132823811
2001,Hispanic,North Central,0.648935283223204
2001,Hispanic,West,0.742641182965664
2001,Native,Northeast,0.71119487256267
2001,Native,South,0.627824417598937
2001,Native,North Central,0.510546108949248
2001,Native,West,1.22657453542394
2001,Pacific,Northeast,0.717512745016034
2001,Pacific,South,0.656577630671919
2001,Pacific,North Central,0.587293008967499
2001,Pacific,West,0.76151281566913
2001,White,Northeast,1.00985850755546
2001,White,South,0.998379218438439
2001,White,North Central,0.989044928509272
2001,White,West,1.02135055191093
2002,Asian,Northeast,0.810970072268395
2002,Asian,South,0.914930478085432
2002,Asian,North Central,0.877266781054229
2002,Asian,West,0.567127705972609
2002,Black,Northeast,1.0327722003788
2002,Black,South,1.08442556866536
2002,Black,North Central,1.1721360477836
2002,Black,West,0.975684078042907
2002,Hispanic,Northeast,0.688012946283842
2002,Hispanic,South,0.661421654854613
2002,Hispanic,North Central,0.685067690192951
2002,Hispanic,West,0.825969190995027
2002,Native,Northeast,0.731723372596155
2002,Native,South,0.680276502250242
2002,Native,North Central,0.572594570785235
2002,Native,West,1.28888561640187
2002,Pacific,Northeast,0.730408367617768
2002,Pacific,South,0.687980303918464
2002,Pacific,North Central,0.613363849210834
2002,Pacific,West,0.645646526334007
2002,White,Northeast,1.00606137793712
2002,White,South,0.99117124948965
2002,White,North Central,0.985447963886324
2002,White,West,1.02809675212988
2003,Asian,Northeast,0.838529526889208
2003,Asian,South,0.917126869182106
2003,Asian,North Central,0.89278357971019
2003,Asian,West,0.5525476548298
2003,Black,Northeast,1.02710437673479
2003,Black,South,1.04547335561604
2003,Black,North Central,1.1595612465041
2003,Black,West,1.00022159785703
2003,Hispanic,Northeast,0.740328727915453
2003,Hispanic,South,0.697725452955166
2003,Hispanic,North Central,0.728693044447682
2003,Hispanic,West,0.846243305436153
2003,Native,Northeast,0.733740003974772
2003,Native,South,0.691500867526044
2003,Native,North Central,0.587426726559763
2003,Native,West,1.35802418427839
2003,Pacific,Northeast,0.742749925959938
2003,Pacific,South,0.702792617678351
2003,Pacific,North Central,0.631043375487186
2003,Pacific,West,0.642268425309378
2003,White,Northeast,1.00588426421317
2003,White,South,0.998706128603305
2003,White,North Central,0.986690326518044
2003,White,West,1.02586671565888
2004,Asian,Northeast,0.864538186440738
2004,Asian,South,0.938569339451494
2004,Asian,North Central,0.898361663439895
2004,Asian,West,0.631873644896165
2004,Black,Northeast,1.04304982338178
2004,Black,South,1.07956819788632
2004,Black,North Central,1.1700277535706
2004,Black,West,0.974919212598274
2004,Hispanic,Northeast,0.763288177024117
2004,Hispanic,South,0.689073409625208
2004,Hispanic,North Central,0.733583067901896
2004,Hispanic,West,0.885460293892078
2004,Native,Northeast,0.749350697507616
2004,Native,South,0.672287751997982
2004,Native,North Central,0.571720020274003
2004,Native,West,1.27131445938947
2004,Pacific,Northeast,0.769182196499786
2004,Pacific,South,0.705006144091706
2004,Pacific,North Central,0.632683937667454
2004,Pacific,West,0.719736647607143
2004,White,Northeast,1.00207661552196
2004,White,South,0.991600374108526
2004,White,North Central,0.985349921179505
2004,White,West,1.02503101209961
2005,Asian,Northeast,0.810309172033835
2005,Asian,South,0.867438614106886
2005,Asian,North Central,0.871108580836632
2005,Asian,West,0.58280232900132
2005,Black,Northeast,1.06763165416097
2005,Black,South,1.0931797213772
2005,Black,North Central,1.16639776700347
2005,Black,West,1.03550446538736
2005,Hispanic,Northeast,0.691494659535978
2005,Hispanic,South,0.688425964476864
2005,Hispanic,North Central,0.719949995681502
2005,Hispanic,West,0.838779716886913
2005,Native,Northeast,0.736272143686743
2005,Native,South,0.71453119927226
2005,Native,North Central,0.587059378470385
2005,Native,West,1.21104295489068
2005,Pacific,Northeast,0.734131590167197
2005,Pacific,South,0.69871689085021
2005,Pacific,North Central,0.628035865718546
2005,Pacific,West,0.66941624238938
2005,White,Northeast,1.00108007859078
2005,White,South,0.991221366349813
2005,White,North Central,0.986722846579243
2005,White,West,1.02367518800829
2006,Asian,Northeast,0.815108921422372
2006,Asian,South,0.88444492134619
2006,Asian,North Central,0.852345513879951
2006,Asian,West,0.491837871883511
2006,Black,Northeast,1.03756802299359
2006,Black,South,1.10618158440715
2006,Black,North Central,1.17870861317764
2006,Black,West,1.08952920156548
2006,Hispanic,Northeast,0.694500412741685
2006,Hispanic,South,0.628122270927533
2006,Hispanic,North Central,0.677090322980615
2006,Hispanic,West,0.731988312831712
2006,Native,Northeast,0.732238669561784
2006,Native,South,0.649001203177476
2006,Native,North Central,0.547084942337012
2006,Native,West,1.2137884309666
2006,Pacific,Northeast,0.741667453970185
2006,Pacific,South,0.684300584411758
2006,Pacific,North Central,0.621108699124788
2006,Pacific,West,0.548567997303455
2006,White,Northeast,1.00634428070256
2006,White,South,0.988990116291657
2006,White,North Central,0.986400863657888
2006,White,West,1.02577794304711
2007,Asian,Northeast,0.804309732935314
2007,Asian,South,0.877713859405617
2007,Asian,North Central,0.871630893128991
