year,pop_name,state_name,reg,relative_PWE_enhancement
2009,White,Alabama,South,0.986973541406603
2017,Asian,Alabama,South,0.920932369908068
2003,Native,Alabama,South,0.763273549027159
2020,Native,Alabama,South,0.881038403748409
2012,Native,Alabama,South,0.782084505363907
2012,Pacific,Alabama,South,0.754777704127645
2010,Asian,Alabama,South,0.878003275244771
2004,Native,Alabama,South,0.749019938695495
2001,White,Alabama,South,0.993200157987686
2019,Asian,Alabama,South,0.859223924977075
2002,Native,Alabama,South,0.810155387539778
2015,Asian,Alabama,South,0.883313031176337
2005,Asian,Alabama,South,0.851024992139159
2012,Black,Alabama,South,1.11274843653782
2011,Native,Alabama,South,0.76168408322374
2006,Asian,Alabama,South,0.835567663405538
2014,Hispanic,Alabama,South,0.829450081879187
2015,White,Alabama,South,0.985247000646082
2018,Asian,Alabama,South,0.903552353241514
2006,Hispanic,Alabama,South,0.66974106534604
2018,Pacific,Alabama,South,0.791125654400521
2000,White,Alabama,South,0.983686548941597
2013,Asian,Alabama,South,0.903000691706229
2002,Black,Alabama,South,1.0908890924199
2004,Black,Alabama,South,1.10206835623561
2012,Asian,Alabama,South,0.884932495152851
2012,Hispanic,Alabama,South,0.77121455857401
2009,Native,Alabama,South,0.763399199490063
2004,Hispanic,Alabama,South,0.767391809762921
2015,Black,Alabama,South,1.1000237280663
2017,White,Alabama,South,0.974843750523298
2014,Pacific,Alabama,South,0.769279231150725
2018,Hispanic,Alabama,South,0.804879886299856
2009,Asian,Alabama,South,0.927781785104807
2015,Native,Alabama,South,0.778623484963426
2003,White,Alabama,South,0.994282217980702
2009,Black,Alabama,South,1.0797576317217
2010,Black,Alabama,South,1.14759418890451
2013,Hispanic,Alabama,South,0.768634658560515
2002,Hispanic,Alabama,South,0.774997945818806
2010,Native,Alabama,South,0.753468225620512
2019,Black,Alabama,South,1.16002810982599
2016,Asian,Alabama,South,0.888601903659358
2010,Pacific,Alabama,South,0.759576076645891
2018,Black,Alabama,South,1.11396952563772
2015,Hispanic,Alabama,South,0.815335667960197
1999,Black,Alabama,South,1.10935180010744
2018,Native,Alabama,South,0.866237048950015
2004,White,Alabama,South,0.982249079648196
2012,White,Alabama,South,0.981380132450338
2011,Black,Alabama,South,1.14028108632335
2005,Black,Alabama,South,1.13107815047206
