"","FacID","unitID","Facility.Name","State","uID"
"1",3,"1","Barry","AL","3.1"
"2",3,"2","Barry","AL","3.2"
"3",3,"3","Barry","AL","3.3"
"4",3,"4","Barry","AL","3.4"
"5",3,"5","Barry","AL","3.5"
"6",56,"1","Charles R Lowman","AL","56.1"
"7",56,"2","Charles R Lowman","AL","56.2"
"8",56,"3","Charles R Lowman","AL","56.3"
"9",5,"110","Chickasaw","AL","5.110"
"10",47,"1","Colbert","AL","47.1"
"11",47,"2","Colbert","AL","47.2"
"12",47,"3","Colbert","AL","47.3"
"13",47,"4","Colbert","AL","47.4"
"14",47,"5","Colbert","AL","47.5"
"15",26,"1","E C Gaston","AL","26.1"
"16",26,"2","E C Gaston","AL","26.2"
"17",26,"3","E C Gaston","AL","26.3"
"18",26,"4","E C Gaston","AL","26.4"
"19",26,"5","E C Gaston","AL","26.5"
"20",7,"1","Gadsden","AL","7.1"
"21",7,"2","Gadsden","AL","7.2"
"22",8,"10","Gorgas","AL","8.10"
"23",8,"6","Gorgas","AL","8.6"
"24",8,"7","Gorgas","AL","8.7"
"25",8,"8","Gorgas","AL","8.8"
"26",8,"9","Gorgas","AL","8.9"
"27",10,"1","Greene County","AL","10.1"
"28",10,"2","Greene County","AL","10.2"
"29",10,"CT10","Greene County","AL","10.CT10"
"30",10,"CT2","Greene County","AL","10.CT2"
"31",10,"CT3","Greene County","AL","10.CT3"
"32",10,"CT4","Greene County","AL","10.CT4"
"33",10,"CT5","Greene County","AL","10.CT5"
"34",10,"CT6","Greene County","AL","10.CT6"
"35",10,"CT7","Greene County","AL","10.CT7"
"36",10,"CT8","Greene County","AL","10.CT8"
"37",10,"CT9","Greene County","AL","10.CT9"
"38",6002,"1","James H Miller Jr","AL","6002.1"
"39",6002,"2","James H Miller Jr","AL","6002.2"
"40",6002,"3","James H Miller Jr","AL","6002.3"
"41",6002,"4","James H Miller Jr","AL","6002.4"
"42",7063,"**1","McIntosh (7063)","AL","7063...1"
"43",7063,"**2","McIntosh (7063)","AL","7063...2"
"44",7063,"**3","McIntosh (7063)","AL","7063...3"
"45",533,"**4","McWilliams","AL","533...4"
"46",7698,"CC1","SABIC Innovative Plastics - Burkville","AL","7698.CC1"
"47",7697,"CC1","Washington County Cogen (Olin)","AL","7697.CC1"
"48",50,"1","Widows Creek","AL","50.1"
"49",50,"2","Widows Creek","AL","50.2"
"50",50,"3","Widows Creek","AL","50.3"
"51",50,"4","Widows Creek","AL","50.4"
"52",50,"5","Widows Creek","AL","50.5"
"53",50,"6","Widows Creek","AL","50.6"
"54",50,"7","Widows Creek","AL","50.7"
"55",50,"8","Widows Creek","AL","50.8"
"56",202,"1","Carl Bailey","AR","202.1"
"57",6138,"1","Flint Creek Power Plant","AR","6138.1"
"58",168,"1","Hamilton Moses","AR","168.1"
"59",168,"2","Hamilton Moses","AR","168.2"
"60",169,"1","Harvey Couch","AR","169.1"
"61",169,"2","Harvey Couch","AR","169.2"
"62",6641,"1","Independence","AR","6641.1"
"63",6641,"2","Independence","AR","6641.2"
"64",170,"1","Lake Catherine","AR","170.1"
"65",170,"2","Lake Catherine","AR","170.2"
"66",170,"3","Lake Catherine","AR","170.3"
"67",170,"4","Lake Catherine","AR","170.4"
"68",203,"1","McClellan","AR","203.1"
"69",173,"1","Robert E Ritchie","AR","173.1"
"70",173,"2","Robert E Ritchie","AR","173.2"
"71",201,"1","Thomas Fitzhugh","AR","201.1"
"72",6009,"1","White Bluff","AR","6009.1"
"73",6009,"2","White Bluff","AR","6009.2"
"74",118,"1","APS Saguaro Power Plant","AZ","118.1"
"75",118,"2","APS Saguaro Power Plant","AZ","118.2"
"76",117,"4","APS West Phoenix Power Plant","AZ","117.4"
"77",117,"6","APS West Phoenix Power Plant","AZ","117.6"
"78",141,"1","Agua Fria Generating Station","AZ","141.1"
"79",141,"2","Agua Fria Generating Station","AZ","141.2"
"80",141,"3","Agua Fria Generating Station","AZ","141.3"
"81",160,"1","Apache Station","AZ","160.1"
"82",160,"2","Apache Station","AZ","160.2"
"83",160,"3","Apache Station","AZ","160.3"
"84",113,"1","Cholla","AZ","113.1"
"85",113,"2","Cholla","AZ","113.2"
"86",113,"3","Cholla","AZ","113.3"
"87",113,"4","Cholla","AZ","113.4"
"88",6177,"U1B","Coronado Generating Station","AZ","6177.U1B"
"89",6177,"U2B","Coronado Generating Station","AZ","6177.U2B"
"90",126,"1","Irvington Generating Station","AZ","126.1"
"91",126,"2","Irvington Generating Station","AZ","126.2"
"92",126,"3","Irvington Generating Station","AZ","126.3"
"93",126,"4","Irvington Generating Station","AZ","126.4"
"94",147,"K-1","Kyrene Generating Station","AZ","147.K.1"
"95",147,"K-2","Kyrene Generating Station","AZ","147.K.2"
"96",4941,"1","Navajo Generating Station","AZ","4941.1"
"97",4941,"2","Navajo Generating Station","AZ","4941.2"
"98",4941,"3","Navajo Generating Station","AZ","4941.3"
"99",116,"1","Ocotillo Power Plant","AZ","116.1"
"100",116,"2","Ocotillo Power Plant","AZ","116.2"
"101",8223,"1","Springerville Generating Station","AZ","8223.1"
"102",8223,"2","Springerville Generating Station","AZ","8223.2"
"103",120,"1","Yucca Power Plant","AZ","120.1"
"104",315,"1","AES Alamitos","CA","315.1"
"105",315,"2","AES Alamitos","CA","315.2"
"106",315,"3","AES Alamitos","CA","315.3"
"107",315,"4","AES Alamitos","CA","315.4"
"108",315,"5","AES Alamitos","CA","315.5"
"109",315,"6","AES Alamitos","CA","315.6"
"110",335,"1","AES Huntington Beach","CA","335.1"
"111",335,"2","AES Huntington Beach","CA","335.2"
"112",356,"17","AES Redondo Beach","CA","356.17"
"113",356,"5","AES Redondo Beach","CA","356.5"
"114",356,"6","AES Redondo Beach","CA","356.6"
"115",356,"7","AES Redondo Beach","CA","356.7"
"116",356,"8","AES Redondo Beach","CA","356.8"
"117",7315,"1","Almond Power Plant","CA","7315.1"
"118",7693,"1","Anaheim Combustion Turbine","CA","7693.1"
"119",420,"B1","Broadway","CA","420.B1"
"120",420,"B2","Broadway","CA","420.B2"
"121",420,"B3","Broadway","CA","420.B3"
"122",302,"1","Cabrillo Power I Encina Power Station","CA","302.1"
"123",302,"2","Cabrillo Power I Encina Power Station","CA","302.2"
"124",302,"3","Cabrillo Power I Encina Power Station","CA","302.3"
"125",302,"4","Cabrillo Power I Encina Power Station","CA","302.4"
"126",302,"5","Cabrillo Power I Encina Power Station","CA","302.5"
"127",7527,"1","Carson Cogeneration","CA","7527.1"
"128",7527,"2","Carson Cogeneration","CA","7527.2"
"129",228,"10","Contra Costa Generating Station","CA","228.10"
"130",228,"9","Contra Costa Generating Station","CA","228.9"
"131",329,"1","Coolwater Generating Station","CA","329.1"
"132",329,"2","Coolwater Generating Station","CA","329.2"
"133",329,"31","Coolwater Generating Station","CA","329.31"
"134",329,"32","Coolwater Generating Station","CA","329.32"
"135",329,"41","Coolwater Generating Station","CA","329.41"
"136",329,"42","Coolwater Generating Station","CA","329.42"
"137",310,"1","Dynegy South Bay, LLC","CA","310.1"
"138",310,"2","Dynegy South Bay, LLC","CA","310.2"
"139",310,"3","Dynegy South Bay, LLC","CA","310.3"
"140",310,"4","Dynegy South Bay, LLC","CA","310.4"
"141",389,"2-Feb","El Centro","CA","389.2.Feb"
"142",389,"3","El Centro","CA","389.3"
"143",389,"4","El Centro","CA","389.4"
"144",330,"1","El Segundo","CA","330.1"
"145",330,"2","El Segundo","CA","330.2"
"146",330,"3","El Segundo","CA","330.3"
"147",330,"4","El Segundo","CA","330.4"
"148",331,"1","Etiwanda Generating Station","CA","331.1"
"149",331,"2","Etiwanda Generating Station","CA","331.2"
"150",331,"3","Etiwanda Generating Station","CA","331.3"
"151",331,"4","Etiwanda Generating Station","CA","331.4"
"152",377,"4","Grayson Power Plant","CA","377.4"
"153",377,"5","Grayson Power Plant","CA","377.5"
"154",399,"**10A","Harbor Generating Station","CA","399...10A"
"155",399,"**10B","Harbor Generating Station","CA","399...10B"
"156",400,"1","Haynes Generating Station","CA","400.1"
"157",400,"2","Haynes Generating Station","CA","400.2"
"158",400,"3","Haynes Generating Station","CA","400.3"
"159",400,"4","Haynes Generating Station","CA","400.4"
"160",400,"5","Haynes Generating Station","CA","400.5"
"161",400,"6","Haynes Generating Station","CA","400.6"
"162",246,"1","Humboldt Bay","CA","246.1"
"163",246,"2","Humboldt Bay","CA","246.2"
"164",247,"3","Hunters Point","CA","247.3"
"165",247,"4","Hunters Point","CA","247.4"
"166",247,"5","Hunters Point","CA","247.5"
"167",247,"6","Hunters Point","CA","247.6"
"168",247,"7","Hunters Point","CA","247.7"
"169",375,"M4","Magnolia (OLD)","CA","375.M4"
"170",345,"1","Mandalay Generating Station","CA","345.1"
"171",345,"2","Mandalay Generating Station","CA","345.2"
"172",259,"1","Morro Bay Power Plant, LLC","CA","259.1"
"173",259,"2","Morro Bay Power Plant, LLC","CA","259.2"
"174",259,"3","Morro Bay Power Plant, LLC","CA","259.3"
"175",259,"4","Morro Bay Power Plant, LLC","CA","259.4"
"176",260,"1-Jun","Moss Landing","CA","260.1.Jun"
"177",260,"1-Jul","Moss Landing","CA","260.1.Jul"
"178",358,"1","Mountainview Generating Station","CA","358.1"
"179",358,"2","Mountainview Generating Station","CA","358.2"
"180",6013,"1","Olive","CA","6013.1"
"181",6013,"2","Olive","CA","6013.2"
"182",350,"1","Ormond Beach Generating Station","CA","350.1"
"183",350,"2","Ormond Beach Generating Station","CA","350.2"
"184",271,"1","Pittsburg Generating Station (CA)","CA","271.1"
"185",271,"2","Pittsburg Generating Station (CA)","CA","271.2"
"186",271,"3","Pittsburg Generating Station (CA)","CA","271.3"
"187",271,"4","Pittsburg Generating Station (CA)","CA","271.4"
"188",271,"5","Pittsburg Generating Station (CA)","CA","271.5"
"189",271,"6","Pittsburg Generating Station (CA)","CA","271.6"
"190",271,"7","Pittsburg Generating Station (CA)","CA","271.7"
"191",273,"1-Mar","Potrero Generating Station","CA","273.1.Mar"
"192",334,"1","Riverside Canal Power Company","CA","334.1"
"193",334,"2","Riverside Canal Power Company","CA","334.2"
"194",334,"3","Riverside Canal Power Company","CA","334.3"
"195",334,"4","Riverside Canal Power Company","CA","334.4"
"196",7551,"1A","SCA Cogen II","CA","7551.1A"
"197",7551,"1B","SCA Cogen II","CA","7551.1B"
"198",7552,"1","Sacramento Power Authority Cogen","CA","7552.1"
"199",404,"1","Scattergood Generating Station","CA","404.1"
"200",404,"2","Scattergood Generating Station","CA","404.2"
"201",404,"3","Scattergood Generating Station","CA","404.3"
"202",408,"3","Valley Generating Station","CA","408.3"
"203",408,"4","Valley Generating Station","CA","408.4"
"204",7266,"1","Woodland Generation Station","CA","7266.1"
"205",465,"1","Arapahoe","CO","465.1"
"206",465,"2","Arapahoe","CO","465.2"
"207",465,"3","Arapahoe","CO","465.3"
"208",465,"4","Arapahoe","CO","465.4"
"209",468,"2","Cameo","CO","468.2"
"210",469,"1","Cherokee","CO","469.1"
"211",469,"2","Cherokee","CO","469.2"
"212",469,"3","Cherokee","CO","469.3"
"213",469,"4","Cherokee","CO","469.4"
"214",470,"1","Comanche (470)","CO","470.1"
"215",470,"2","Comanche (470)","CO","470.2"
"216",6021,"C1","Craig","CO","6021.C1"
"217",6021,"C2","Craig","CO","6021.C2"
"218",6021,"C3","Craig","CO","6021.C3"
"219",6112,"2","Fort St. Vrain","CO","6112.2"
"220",6112,"3","Fort St. Vrain","CO","6112.3"
"221",525,"H1","Hayden","CO","525.H1"
"222",525,"H2","Hayden","CO","525.H2"
"223",492,"5","Martin Drake","CO","492.5"
"224",492,"6","Martin Drake","CO","492.6"
"225",492,"7","Martin Drake","CO","492.7"
"226",527,"1","Nucla","CO","527.1"
"227",6248,"1","Pawnee","CO","6248.1"
"228",6761,"101","Rawhide Energy Station","CO","6761.101"
"229",8219,"1","Ray D Nixon","CO","8219.1"
"230",8219,"2","Ray D Nixon","CO","8219.2"
"231",8219,"3","Ray D Nixon","CO","8219.3"
"232",477,"5","Valmont","CO","477.5"
"233",478,"1","Zuni","CO","478.1"
"234",478,"2","Zuni","CO","478.2"
"235",478,"3","Zuni","CO","478.3"
"236",10675,"UNITA","AES Thames","CT","10675.UNITA"
"237",10675,"UNITB","AES Thames","CT","10675.UNITB"
"238",10567,"GT1","Algonquin Power Windsor Locks, LLC","CT","10567.GT1"
"239",540,"10","Branford","CT","540.10"
"240",55042,"BE1","Bridgeport Energy","CT","55042.BE1"
"241",55042,"BE2","Bridgeport Energy","CT","55042.BE2"
"242",568,"BHB1","Bridgeport Harbor Station","CT","568.BHB1"
"243",568,"BHB2","Bridgeport Harbor Station","CT","568.BHB2"
"244",568,"BHB3","Bridgeport Harbor Station","CT","568.BHB3"
"245",568,"BHB4","Bridgeport Harbor Station","CT","568.BHB4"
"246",50498,"GT","Capitol District Energy Center","CT","50498.GT"
"247",542,"10","Cos Cob","CT","542.10"
"248",542,"11","Cos Cob","CT","542.11"
"249",542,"12","Cos Cob","CT","542.12"
"250",544,"10","Devon","CT","544.10"
"251",544,"11","Devon","CT","544.11"
"252",544,"12","Devon","CT","544.12"
"253",544,"13","Devon","CT","544.13"
"254",544,"14","Devon","CT","544.14"
"255",544,"7","Devon","CT","544.7"
"256",544,"8","Devon","CT","544.8"
"257",561,"10","Franklin Drive","CT","561.10"
"258",54657,"1","Fusion Paperboard Connecticut LLC","CT","54657.1"
"259",562,"1","Middletown","CT","562.1"
"260",562,"10","Middletown","CT","562.10"
"261",562,"2","Middletown","CT","562.2"
"262",562,"3","Middletown","CT","562.3"
"263",562,"4","Middletown","CT","562.4"
"264",546,"5","Montville","CT","546.5"
"265",546,"6","Montville","CT","546.6"
"266",6156,"NHB1","New Haven Harbor","CT","6156.NHB1"
"267",548,"1","Norwalk Harbor Station","CT","548.1"
"268",548,"10","Norwalk Harbor Station","CT","548.10"
"269",548,"2","Norwalk Harbor Station","CT","548.2"
"270",581,"TRBINE","Norwich","CT","581.TRBINE"
"271",54236,"5","Pfizer","CT","54236.5"
"272",54236,"8","Pfizer","CT","54236.8"
"273",880021,"B1","Pratt & Whitney Willgoos Lab","CT","880021.B1"
"274",880021,"B2","Pratt & Whitney Willgoos Lab","CT","880021.B2"
"275",880021,"B4","Pratt & Whitney Willgoos Lab","CT","880021.B4"
"276",880021,"B5","Pratt & Whitney Willgoos Lab","CT","880021.B5"
"277",880021,"B6","Pratt & Whitney Willgoos Lab","CT","880021.B6"
"278",54605,"1","Pratt & Whitney, East Hartford","CT","54605.1"
"279",563,"11A","South Meadow Station","CT","563.11A"
"280",563,"11B","South Meadow Station","CT","563.11B"
"281",563,"12A","South Meadow Station","CT","563.12A"
"282",563,"12B","South Meadow Station","CT","563.12B"
"283",563,"13A","South Meadow Station","CT","563.13A"
"284",563,"13B","South Meadow Station","CT","563.13B"
"285",563,"14A","South Meadow Station","CT","563.14A"
"286",563,"14B","South Meadow Station","CT","563.14B"
"287",563,"15","South Meadow Station","CT","563.15"
"288",565,"10","Torrington Terminal","CT","565.10"
"289",557,"10","Tunnel","CT","557.10"
"290",603,"15","Benning Generation Station","DC","603.15"
"291",603,"16","Benning Generation Station","DC","603.16"
"292",591,"11","Christiana Substation","DE","591.11"
"293",591,"14","Christiana Substation","DE","591.14"
"294",592,"10","Delaware City","DE","592.10"
"295",52193,"21H1","Delaware City Refinery","DE","52193.21H1"
